type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG
pr;a;l;2;39;;2;750;;;0;0;1;0;A;22;43.68532;7.09047;0;2.0;;1.0;;0;A;;1.0;0.0;;False;;True;;;;;Collectif;a;n;a;2020-04;06044;0103;060440103;H;06;93.0
pr;a;l;1;42;;2;689;;;0;0;0;0;0;;43.56145;6.94099;0;;;1.0;False;Ouest;;2020.0;;;;True;;True;;;Électrique;;Individuel;a;n;a;2020-04;06079;0102;060790102;H;06;93.0
pr;a;l;1;40;;2;662;;;0;0;0;0;0;;43.56145;6.94099;0;;;1.0;False;Est;;2020.0;;;;True;;True;;;Électrique;;Individuel;a;n;a;2020-04;06079;0102;060790102;H;06;93.0
pr;a;l;2;20;;1;500;;;0;0;1;0;D;199;43.58508;7.09833;0;;;1.0;;0;E;;;0.0;;;;True;;;;;Individuel;a;n;a;2020-04;06004;0119;060040119;H;06;93.0
pr;a;l;2;48;;2;540;;;0;1;0;1;D;202;43.85074;5.03465;0;3.0;;1.0;;0;B;;;0.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-04;84035;0203;840350203;H;84;93.0
pr;a;l;0;25;;1;417;;;0;0;0;0;D;199;43.67183;4.64014;0;;;;False;0;B;;;;False;False;;False;;;;;;a;n;a;2020-04;13004;0104;130040104;H;13;93.0
pr;a;l;3;32;;1;382;;;0;0;0;0;A;38;43.38676;4.84949;0;4.0;;;;0;B;;;;;;;True;;;;;Individuel;a;n;a;2020-04;13078;0101;130780101;H;13;93.0
pr;a;l;4;61;;3;1007;;;0;0;0;0;0;;43.22692;5.40272;0;;;1.0;False;Sud-Est;;2017.0;;;;False;;True;;;Électrique;;Individuel;a;n;a;2020-04;13209;0702;132090702;H;13;93.0
pr;a;l;0;26;;1;478;;;0;0;0;0;0;;43.22692;5.40272;0;;;1.0;False;0;;2017.0;;;;False;;True;;;Électrique;;Individuel;a;n;a;2020-04;13209;0702;132090702;H;13;93.0
pr;a;l;2;69;;3;594;;;0;0;0;1;D;198.0;43.29861;5.36885;0;4.0;;;;0;B;;;;;False;;False;;;Électrique;Convecteur;;a;n;a;2020-04;13202;0303;132020303;H;13;93.0
